MQ-3,MQ-4,MQ-135,Label
112,202,16,none
115,191,17,none
115,191,16,none
115,192,17,none
116,192,20,none
116,193,18,none
115,191,17,none
115,192,17,none
115,192,17,none
115,192,17,none
115,192,17,none
115,192,17,none
115,192,16,none
115,192,17,none
115,192,17,none
115,192,17,none
115,192,16,none
115,192,17,none
115,193,17,none
115,192,17,none
116,192,17,none
115,193,17,none
116,192,18,none
116,195,18,none
116,193,20,none
116,193,19,none
116,193,18,none
116,193,17,none
115,193,17,none
116,193,17,none
116,193,18,none
117,195,18,none
116,194,20,none
116,193,18,none
116,193,17,none
116,193,17,none
116,193,17,none
116,194,18,none
114,196,18,none
116,195,20,none
116,194,18,none
116,193,17,none
116,193,18,none
116,194,17,none
116,194,18,none
117,195,19,none
108,189,16,none
116,195,20,none
116,195,20,none
117,195,20,none
117,194,19,none
116,194,19,none
116,195,19,none
116,194,20,none
116,195,20,none
117,195,20,none
117,193,11,none
117,195,20,none
117,194,11,none
117,195,18,none
116,194,19,none
116,194,17,none
116,194,16,none
116,195,17,none
116,195,17,none
116,195,16,none
116,195,17,none
116,195,18,none
117,195,20,none
112,195,17,none
116,195,18,none
116,194,18,none
116,195,18,none
116,195,17,none
116,195,16,none
116,195,18,none
117,195,20,none
117,196,19,none
116,195,18,none
116,195,17,none
116,195,17,none
116,195,17,none
116,195,17,none
116,195,17,none
116,195,17,none
116,195,17,none
116,196,19,none
117,196,20,none
108,189,14,none
116,195,18,none
116,195,17,none
116,195,16,none
116,195,17,none
116,195,17,none
116,195,18,none
116,196,17,none
116,195,18,none
116,195,18,none
116,195,19,none
117,195,19,none
117,196,20,none
117,196,19,none
116,196,18,none
117,195,19,none
116,195,19,none
116,196,17,none
116,196,18,none
116,196,17,none
116,195,17,none
116,195,17,none
116,196,17,none
116,196,19,none
117,196,20,none
110,194,16,none
116,196,18,none
116,195,16,none
116,196,19,none
117,196,20,none
116,195,18,none
116,196,17,none
116,196,17,none
118,186,12,none
116,196,18,none
116,196,17,none
117,196,19,none
116,195,18,none
116,196,17,none
117,196,20,none
116,195,18,none
117,196,19,none
116,196,18,none
116,196,17,none
110,195,16,none
116,196,18,none
116,196,18,none
117,196,19,none
116,196,17,none
118,196,20,none
116,196,17,none
116,196,19,none
116,196,17,none
116,196,18,none
116,196,17,none
117,196,19,none
116,196,18,none
117,196,20,none
116,196,17,none
118,188,12,none
116,196,17,none
116,196,18,none
117,196,19,none
117,196,19,none
116,196,17,none
116,196,18,none
118,196,21,none
116,196,19,none
116,196,17,none
116,196,17,none
116,196,17,none
118,197,18,none
118,196,20,none
117,196,20,none
117,196,19,none
116,196,18,none
117,196,18,none
117,196,18,none
116,196,18,none
116,197,18,none
116,196,17,none
116,196,18,none
117,196,18,none
117,196,19,none
112,197,17,none
117,196,17,none
117,196,18,none
116,196,17,none
116,196,17,none
117,196,20,none
118,196,18,none
116,196,18,none
116,196,17,none
118,196,19,none
118,197,19,none
116,196,18,none
117,196,17,none
117,196,19,none
117,196,19,none
116,196,17,none
117,196,19,none
117,196,17,none
117,196,18,none
117,196,18,none
116,196,17,none
118,188,12,none
116,196,16,none
118,197,19,none
117,196,17,none
112,196,17,none
117,196,17,none
117,196,18,none
117,196,17,none
116,196,18,none
117,197,19,none
116,196,17,none
117,196,18,none
118,197,20,none
118,196,19,none
116,197,17,none
116,197,17,none
118,197,19,none
118,197,20,none
118,197,19,none
117,196,17,none
117,196,18,none
117,196,17,none
117,197,17,none
116,197,17,none
117,196,17,none
117,197,17,none
117,196,18,none
118,197,18,none
118,197,19,none
118,197,20,none
119,197,20,none
113,197,18,none
116,197,18,none
117,196,17,none
117,196,18,none
119,196,11,none
117,196,18,none
117,196,17,none
118,197,19,none
117,196,18,none
117,196,17,none
117,197,19,none
117,196,17,none
117,196,18,none
117,199,18,none
117,196,17,none
119,197,19,none
117,197,17,none
118,196,18,none
117,197,18,none
117,196,18,none
117,197,20,none
117,197,17,none
118,196,18,none
118,197,19,none
117,196,17,none
117,196,17,none
117,197,18,none
109,192,15,none
118,197,19,none
117,196,18,none
117,197,17,none
116,196,17,none
117,196,18,none
115,199,18,none
119,197,20,none
118,197,19,none
119,197,19,none
117,197,17,none
117,197,18,none
117,197,18,none
117,197,18,none
118,197,20,none
119,197,20,none
119,198,20,none
119,189,12,none
113,198,18,none
117,197,19,none
117,196,17,none
117,197,18,none
117,197,17,none
118,197,18,none
119,198,20,none
118,197,19,none
117,196,18,none
118,197,18,none
118,197,18,none
114,199,18,none
118,197,17,none
118,197,17,none
111,194,16,none
117,197,17,none
117,197,18,none
120,197,12,none
117,197,17,none
118,197,18,none
117,197,19,none
117,197,18,none
117,200,19,none
118,197,17,none
118,198,19,none
117,197,18,none
118,198,19,none
118,197,18,none
117,191,13,none
117,197,18,none
118,197,18,none
118,197,18,none
118,196,17,none
118,197,19,none
118,197,17,none
